"Institutions","Links","Quantity of digitized items","IIIF","Copyright","Free Cultural Works license","Country","City","lat","lng","Additional data","Post",""
"Dominikanerinnenkloster St. Katharina","https://www.e-codices.unifr.ch/en/list/kaw Digitized manuscripts","Few ( < 10 digitized manuscripts)","yes","Unknown","no","Switzerland","Wil","47.465409","9.050683","Explore","No post available","0"
"Museum Rotterdam","https://www.mmdc.nl/static/site/search/?searchMode=advanced&recordId=null&selectedRecordId=null&maximumRecords=15&recordDisplayLevel=1&startRecord=1&showMap=1&freetextsearch=Type+in+query&shelfmark=rotterdam+hmr&author=Type+in+query...+%28autocompleted%29 Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","Netherlands","Rotterdam","51.91878","4.48208","Explore","No post available","0"
"Biblioteca Ambrosiana di Milano","https://ambrosiana.comperio.it/biblioteca-digitale/ Digitized manuscripts","More than half-thousand digitized manuscripts (between 500 and 1000)","yes","All Rights Reserved","no","Italy","Milan","45.4635","9.1858","Explore","No post available","0"
"Bibliotheque cantonale et universitaire / Kantons- und Universitätsbibliothek","https://www.e-codices.unifr.ch/en/list/bcuf Digitized manuscripts","Few ( < 10 digitized manuscripts)","yes","Unknown","no","Switzerland","Fribourg","46.820073","7.004371","Explore","No post available","0"
"The Metropolitan Museum of Art","https://www.metmuseum.org/art/collection/search?q=medieval+manuscripts Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","no","Unknown","no","United States of America","New York","40.780008","-73.96305","Explore","No post available","0"
"University of Pennsylvania","https://search.digital-scriptorium.org/?f%5Binstitution_facet%5D%5B%5D=University+of+Pennsylvania Digitized manuscripts","Thousands (more than 1000 digitized manuscripts)","yes","CC-BY","yes","United States of America","Philadelphia","39.95273","-75.19348","Explore","No post available","0"
"Staatsarchiv Graubünden","https://www.e-codices.unifr.ch/en/search/?iCurrentPage=1&sQueryString=&sSearchField=fullText&sSortField=score&aSelectedFacets%5bcollection_facet%5d%5b%5d=Chur%2C+Staatsarchiv+Graub%C3%BCnden Digitized manuscripts","Few ( < 10 digitized manuscripts)","yes","Unknown","no","Switzerland","Chur","46.849696","9.533671","Explore","No post available","0"
"Biblioteca Digitale Augusta di Perugia","https://www.internetculturale.it/it/64/partner/27859/biblioteca-comunale-augusta-perugia Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","Italy","Perugia","43.113851","12.390454","Explore","No post available","0"
"Universitäts- und Landesbibliothek Düsseldorf","https://digital.ub.uni-duesseldorf.de/nav/classification/507874 Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","no","Unknown","no","Germany","Dusseldorf","51.186793","6.802896","Explore","No post available","0"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?rechercheRapide=Honfleur&newSearch=1 Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","France","Honfleur","49.418539","0.233262","Explore","No post available","0"
