"Institutions","Links","Quantity of digitized items","IIIF","Copyright","Free Cultural Works license","Country","City","lat","lng","Additional data","Post",""
"Colaiste na Rinne","https://www.isos.dias.ie/master.html?https://www.isos.dias.ie/libraries/CNR/english/index.html?ref= Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","Ireland","Dungarvan","52.050296","-7.590866","Explore","No post available","0"
"Archivio parrocchiale","https://www.e-codices.unifr.ch/en/search/?iCurrentPage=1&sQueryString=&sSearchField=fullText&sSortField=score&aSelectedFacets%5bcollection_facet%5d%5b%5d=Claro%2C+Archivio+parrocchiale Digitized manuscripts","Few ( < 10 digitized manuscripts)","yes","Unknown","no","Switzerland","Claro","46.25298","9.02308","Explore","No post available","0"
"Biblioteka Narodowa","http://polona.pl/ Digitized manuscripts","Many (Between 50 and 100 digitized manuscripts)","no","Unknown","no","Poland","Warsaw","52.213658","21.003451","Explore","No post available","0"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?rechercheRapide=Blois&newSearch=1 Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","France","Blois","47.588099","1.336272","Explore","No post available","0"
"Universidad de Salamanca","http://gredos.usal.es/jspui/handle/10366/1 Digitized manuscripts","Unknown","no","Unknown","no","Spain","Salamanca","40.961338","-5.666925","Explore","No post available","0"
"Det Kongelige Bibliotek","http://www.kb.dk/en/nb/materialer/haandskrifter/HA/e-mss/e_mss.html Digitized manuscripts","Unknown","no","Unknown","no","Denmark","Copenhagen","55.67317","12.582088","Explore","No post available","0"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?rechercheRapide=Strasbourg,+municipale&newSearch=1 Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","France","Strasbourg","48.601394","7.721664","Explore","No post available","0"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?rechercheRapide=Argentan&newSearch=1 Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","France","Argentan","48.743833","-0.016566","Explore","No post available","0"
"Bibliotheques de Chalons","http://bmvr.chalons-en-champagne.net/in/faces/browse.xhtml?profile=&pageSize=20&query=*&basket=default&pageNo=1&queryid=&sf=&sort=DateOfPublicationSearch_date_ASC&view=grid&subview=&mozQuirk=%3F&facetClause=%2BTypeOfDocumentFacet%3AOAIDocument%3B&dateRang Digitized manuscripts","Unknown","no","Unknown","no","France","Chalons-sur-Marne","48.956682","4.363073","Explore","No post available","0"
"Trinity College Dublin","https://www.isos.dias.ie/master.html?https://www.isos.dias.ie/libraries/TCD/english/index.html?ref= Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","Ireland","Dublin","53.343738","-6.254759","Explore","No post available","0"
"Benediktinerinnenkloster St. Johann","https://www.e-codices.unifr.ch/en/search/?iCurrentPage=1&sQueryString=&sSearchField=fullText&sSortField=score&aSelectedFacets%5bcollection_facet%5d%5b%5d=M%C3%BCstair%2C+Benediktinerinnenkloster+St.+Johann Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","yes","Unknown","no","Switzerland","Müstair","46.629601","10.448014","Explore","No post available","0"
"Stiftung Dome und Schlösser in Sachsen Anhalt","https://diglib.hab.de/?db=mss&list=collection&id=ed&settlement=Halberstadt&repository=Domschatz Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","Germany","Halberstadt","51.8959138","11.0471889","Explore","No post available","0"
"Domschatz der St.-Ursen-Kathedrale","https://www.e-codices.unifr.ch/en/list/dss Digitized manuscripts","Few ( < 10 digitized manuscripts)","yes","Unknown","no","Switzerland","Solothurn","47.207648","7.538777","Explore","No post available","0"
"Benediktinerkloster","https://www.e-codices.unifr.ch/en/search/?iCurrentPage=1&sQueryString=&sSearchField=fullText&sSortField=score&aSelectedFacets%5bcollection_facet%5d%5b%5d=Mariastein%2C+Benediktinerkloster Digitized manuscripts","Few ( < 10 digitized manuscripts)","yes","Unknown","no","Switzerland","Mariastein","47.47634","7.492164","Explore","No post available","0"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?NOM_VILLE=AUCH&TOUT=true Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","France","Auch","43.646288","0.584043","Explore","No post available","0"
"Musee de Cluny","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?NOM_VILLE=PARIS&TOUT=true Digitized manuscripts","Many (Between 50 and 100 digitized manuscripts)","no","Unknown","no","France","Paris","48.850455","2.344074","Explore","No post available","0"
"Bibliotheca Laureshamensis","https://bibliotheca-laureshamensis-digital.de/de/index.html Digitized manuscripts","Unknown","no","Unknown","no","Germany","Lorsch","49.653914","8.568965","Explore","No post available","0"
"Archives de l'Etat de Fribourg / Staatsarchiv Freiburg","https://www.e-codices.unifr.ch/en/list/aef Digitized manuscripts","Few ( < 10 digitized manuscripts)","yes","Unknown","no","Switzerland","Fribourg","46.798362","7.149808","Explore","No post available","0"
"Bibliotheque municipale Versailles","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?rechercheRapide=versailles&newSearch=1 Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","France","Versailles","48.802063","2.121009","Explore","No post available","0"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?NOM_VILLE=CHARLEVILLE-MEZIERES&TOUT=true Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","France","Charleville-Mezieres","49.77434","4.724702","Explore","No post available","0"
"UCLA Library","http://digital2.library.ucla.edu/viewItem.do?ark=21198/zz0009gx4f Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","United States of America","Los Angeles","34.074956","-118.441517","Explore","No post available","0"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?rechercheRapide=Chartres&newSearch=1 Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","France","Chartres","48.443837","1.489012","Explore","No post available","0"
"The Fitzwilliam Museum","https://collection.beta.fitz.ms/id/departments/Manuscripts+and+Printed+Books Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","no","CC BY-NC-ND","no","England","Cambridge","52.199534","0.119944","Explore","No post available","0"
"Staatsbibliothek Bamberg","https://zendsbb.digitale-sammlungen.de/db/ausgaben/index.html Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","no","Unknown","no","Germany","Bamberg","49.897355","10.882194","Explore","No post available","0"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?rechercheRapide=Vannes&newSearch=1 Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","France","Vannes","47.657964","-2.760847","Explore","No post available","0"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?NOM_VILLE=NOYON&TOUT=true Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","France","Noyon","49.581384","2.998131","Explore","No post available","0"
"Biblioteca Geral da Universidade de Coimbra","https://almamater.uc.pt/ Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","Portugal","Coimbra","40.207469","-8.425135","Explore","No post available","0"
"Early Manuscripts at Oxford University","https://digital.bodleian.ox.ac.uk/collections/western-medieval-manuscripts/ Digitized manuscripts","Many (Between 50 and 100 digitized manuscripts)","no","Unknown","no","England","Oxford","51.756634","-1.254704","Explore","No post available","0"
"Cathedrale Saint-Andre de Bordeaux","http://www.manuscrits-medievaux.fr/resultats.aspx?fd=102 Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","France","Bordeaux","44.837645","-0.57767","Explore","No post available","0"
"Bibliotheque de Rennes Metropole","http://www.tablettes-rennaises.fr/app/photopro.sk/rennes/? Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","France","Rennes","48.108316","-1.676975","Explore","No post available","0"
"Korporation Luzern","https://www.e-codices.unifr.ch/en/search/?iCurrentPage=1&sQueryString=&sSearchField=fullText&sSortField=score&aSelectedFacets%5bcollection_facet%5d%5b%5d=Luzern%2C+Korporation+Luzern Digitized manuscripts","Few ( < 10 digitized manuscripts)","yes","Unknown","no","Switzerland","Luzern","47.050887","8.303248","Explore","No post available","0"
"Schweizerisches Nationalmuseum","https://www.e-codices.unifr.ch/en/search/?iCurrentPage=1&sQueryString=&sSearchField=fullText&sSortField=score&aSelectedFacets%5bcollection_facet%5d%5b%5d=Zürich%2C+Schweizerisches+Nationalmuseum Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","yes","Unknown","no","Switzerland","Zürich","47.379056","8.540549","Explore","No post available","0"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?rechercheRapide=Brest&newSearch=1 Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","France","Brest","48.390255","-4.486076","Explore","No post available","0"
"Jagiellonian Library","http://jbc.bj.uj.edu.pl/dlibra/collectiondescription?dirids=180 Digitized manuscripts","Unknown","no","Unknown","no","Poland","Krakow","50.061372","19.922311","Explore","No post available","0"
"Mémoires d'Ici","https://www.e-codices.unifr.ch/en/search/?iCurrentPage=1&sQueryString=&sSearchField=fullText&sSortField=score&aSelectedFacets%5bcollection_facet%5d%5b%5d=Saint-Imier%2C+M%C3%A9moires+d%27Ici Digitized manuscripts","Few ( < 10 digitized manuscripts)","yes","Unknown","no","Switzerland","Saint-Imier","47.152221","6.996225","Explore","No post available","0"
"Rhineland-Palatinate","http://www.dilibri.de/ Digitized manuscripts","Unknown","no","Unknown","no","Germany","Rheinland-Pfalz","50.118346","7.308953","Explore","No post available","0"
"Herzogin Anna Amalia Bibliothek","http://ora-web.swkk.de/digimo_online/digimo.entry Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","Germany","Weimar","50.978516","11.332221","Explore","No post available","1"
"Biblioteca de la Universidad de Barcelona","https://bipadi.ub.edu/digital/collection/manuscrits/search/display/200/order/title/ad/asc Digitized manuscripts","Many (Between 50 and 100 digitized manuscripts)","no","Unknown","no","Spain","Barcelona","41.386608","2.16402","Explore","No post available","0"
"Geistliches Ministerium Greifswald","http://www.manuscripta-mediaevalia.de/?xdb_objtype!%22digitalisierteHandschriften%22%20biblio:Greifswald%20biblio:ministerium%20biblio:Greifswald%20sp-datum%3C1550#|4 Digitized manuscripts","Many (Between 50 and 100 digitized manuscripts)","no","Unknown","no","Germany","Greifswald","54.095319","13.377666","Explore","No post available","0"
"Oberosterreichische Landesbibliothek","https://digi.landesbibliothek.at/viewer/browse/ Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","no","Unknown","no","Austria","Linz","48.297254","14.290938","Explore","No post available","0"
"Moravian Land Library","http://kramerius.mzk.cz/search/r.jsp?offset=0&forProfile=facet&fq=language:%22lat%22http://www.manuscriptorium.com/index.php?q=content/manuscripts-moravian-regional-library-brno-and-benedictine-abbey-rajhrad Digitized manuscripts","Unknown","no","Unknown","no","Czech Republic","Brno","49.208654","16.594387","Explore","No post available","0"
"Universitätsbibliothek Gießen","https://digisam.ub.uni-giessen.de/ubg-ihd-hm Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","Germany","Giessen","50.57617","8.69526","Explore","No post available","0"
"Bibliotheque Sainte-Genevieve","http://liberfloridus.cines.fr/textes/biblio_fr.html Digitized manuscripts","Unknown","no","Unknown","no","France","Paris","48.846957","2.345827","Explore","No post available","1"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?NOM_VILLE=FREJUS&TOUT=true Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","France","Frejus","44.945673","6.559763","Explore","No post available","0"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?rechercheRapide=Verdun&newSearch=1 Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","France","Verdun","49.15894","5.386757","Explore","No post available","0"
"Bibliothèque et archives du château","https://arca.irht.cnrs.fr/collection/1610/manuscripts Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","yes","All Rights Reserved","no","France","Chantilly","49.19382","2.48538","Explore","No post available","0"
"Banque d'images - Bibliotheque Nationale de France","https://images.bnf.fr/#/home/ Digitized manuscripts","Unknown","no","Unknown","no","France","Paris","48.830589","2.376976","Explore","No post available","0"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?rechercheRapide=Caen,+Biblioth%C3%A8que+municipale&newSearch=1 Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","no","Unknown","no","France","Caen","49.182725","-0.370679","Explore","No post available","0"
"Bibliotheque de Bayonne","http://www.manuscrits-medievaux.fr/resultats.aspx?fd=94 Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","France","Bayonne","43.491076","-1.478219","Explore","No post available","0"
"LMU University Library","http://epub.ub.uni-muenchen.de/view/malte/handschriften.html Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","Germany","Munich","48.158186","11.564218","Explore","No post available","0"
"Batthyaneum","https://www.manuscriptorium.com/ Digitized manuscripts","Unknown","no","Unknown","no","Romania","Alba Iulia","46.070515","23.570748","Explore","No post available","0"
"University of Kansas, Kenneth Spencer Research Library, Special Collections","https://search.digital-scriptorium.org/?f%5Binstitution_facet%5D%5B%5D=University+of+Kansas Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","yes","Unknown","no","United States of America","Lawrence","38.958922","-95.247567","Explore","No post available","0"
"Musee Dobree","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?rechercheRapide=dobree&newSearch=1 Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","France","Nantes","47.212604","-1.566473","Explore","No post available","0"
"Universiteitsbibliotheek Vrije Universiteit","http://imagebase.ubvu.vu.nl/cdm/search/collection/mhs Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","Netherlands","Amsterdam","52.333757","4.86572","Explore","No post available","0"
"University of Pennsylvania, Rare Book and Manuscript Library","https://search.digital-scriptorium.org/?f%5Binstitution_facet%5D%5B%5D=University+of+Pennsylvania Digitized manuscripts","More than half-thousand digitized manuscripts (between 500 and 1000)","yes","Unknown","no","United States of America","Philadelphia","39.952739","-75.193497","Explore","No post available","0"
"Universidad de Zaragoza","https://zaguan.unizar.es/collection/manuscritos Digitized manuscripts","Unknown","no","Unknown","no","Spain","Zaragoza","41.642177","-0.901233","Explore","No post available","0"
"Hochschul- und Landesbibliothek Fulda","https://fuldig.hs-fulda.de/viewer/search/-/-/1/-/FACET_DC%3Ahandschriften.mittelalterlichehandschriften/ Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","yes","CC BY-NC-SA 4.0","no","Germany","Fulda","50.55483","9.68027","Explore","No post available","0"
"Humboldt University Library","http://goobi.ub.hu-berlin.de/viewer/browse/mittelalterlichehandschriften/-/1/-/-/ Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","Germany","Berlin","52.524929","13.379733","Explore","No post available","0"
"Zisterzienserstift","https://manuscripta.at/lib.php?libcode=AT9800 Digitized manuscripts","Unknown","no","Unknown","no","Austria","Zwettl","48.617456","15.202792","Explore","No post available","0"
"Library of Congress, Lessing J. Rosenwald Collection","http://www.loc.gov/rr/rarebook/rosenwald-MandR.html Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","United States of America","Washington","38.888629","-77.004728","Explore","No post available","0"
"Reynolds Historical Library, University of Alabama at Birmingham","https://uab.contentdm.oclc.org/digital/collection/PHARM/search/order/title/ad/asc Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","United States of America","Birmingham","33.498091","-86.806779","Explore","No post available","0"
"Dorfarchiv Sils i.E. / Segl","https://www.e-codices.unifr.ch/en/search/?iCurrentPage=1&sQueryString=&sSearchField=fullText&sSortField=score&aSelectedFacets%5bcollection_facet%5d%5b%5d=Sils+%2F+Segl+Maria%2C+Dorfarchiv+Sils+i.E.+%2F+Segl Digitized manuscripts","Few ( < 10 digitized manuscripts)","yes","Unknown","no","Switzerland","Sils / Segl Maria","46.432156","9.76569","Explore","No post available","0"
"Russian State Library (Российская государственная библиотека)","http://www.manuscripta-mediaevalia.de/?xdb_objtype!%22digitalisierteHandschriften%22%20biblio%3AMoskau%20sp-datum%3C1550 Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","no","Unknown","no","Russia","Moscow","55.752161","37.609043","Explore","No post available","0"
"Klooster Sint Aegten","https://www.mmdc.nl/static/site/search/?searchMode=advanced&recordId=null&selectedRecordId=null&maximumRecords=15&recordDisplayLevel=1&startRecord=1&showMap=1&freetextsearch=Type+in+query&shelfmark=cuijk&author=Type+in+query...+%28autocompleted%29&title=T Digitized manuscripts","Many (Between 50 and 100 digitized manuscripts)","no","Unknown","no","Netherlands","Cuijk","51.713203","5.917006","Explore","No post available","0"
"The Walters Art Museum","https://manuscripts.thewalters.org/ Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","no","CC0 1.0 Universal (CC0 1.0) Public Domain Dedication","no","United States of America","Baltimore","39.296142","-76.616119","Explore","No post available","0"
"Universitätsbibliothek Tubingen","http://idb.ub.uni-tuebingen.de/digitue/tue/ Digitized manuscripts","Unknown","no","Unknown","no","Germany","Tubingen","48.5251","9.06176","Explore","No post available","0"
"Heinrich-Heine-Universität Düsseldorf","http://www.manuscripta-mediaevalia.de/?xdb_objtype!%22digitalisierteHandschriften%22%20biblio%3ADusseldorf%20sp-datum%3C1550 Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","no","Unknown","no","Germany","Dusseldorf","51.192465","6.793181","Explore","No post available","0"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?rechercheRapide=Chalons-En-Champagne&newSearch=1 Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","France","Chalons-En-Champagne","48.956466","4.363073","Explore","No post available","0"
"Bibliotheque interuniversitaire","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?NOM_VILLE=MONTPELLIER&TOUT=true Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","no","Unknown","no","France","Montpellier","43.604722","3.898679","Explore","No post available","0"
"Biblioteca Civica L. Berio","https://bibliotecadigitale.regione.liguria.it/opacbdl/opac/bdl/collezioni_digitali.jsp Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","Italy","Genova","44.405211","8.937521","Explore","No post available","0"
"Gallica - Bibliotheque Nationale de France","https://gallica.bnf.fr/html/und/manuscrits/manuscrits Digitized manuscripts","Thousands (more than 1000 digitized manuscripts)","no","Unknown","no","France","Paris","48.83414","2.374195","Explore","No post available","0"
"Universitätsbibliothek Karl-Franzens","https://unipub.uni-graz.at/obvugrseck Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","no","Unknown","no","Austria","Graz","47.078064","15.450868","Explore","No post available","0"
"Seminar für Mittlere und Neuere Geschichte der Georg-August-Universität, Diplomatischer Apparat","https://diglib.hab.de/?db=mss&list=collection&id=ed&settlement=G%C3%B6ttingen Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","Germany","Gottingen","51.5427595","9.9390712","Explore","No post available","0"
"University of California, Berkeley, Bancroft Library","https://www.digital-scriptorium.org/xtf3/search?rmode=digscript&smode=bid&bid=1&docsPerPage=30 Digitized manuscripts","More than half-thousand digitized manuscripts (between 500 and 1000)","no","Unknown","no","United States of America","Berkeley","37.87226","-122.25885","Explore","No post available","1"
"Grolier Club","https://search.digital-scriptorium.org/?f%5Binstitution_facet%5D%5B%5D=Grolier+Club Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","yes","Unknown","no","United States of America","New York","40.7613","-73.971367","Explore","No post available","0"
"Tallinn City Archives","https://www.ra.ee/pargamendid/index.php/en/parchment/search?institution=TLA&end_year=1500&q=1&sort=years Digitized manuscripts","More than half-thousand digitized manuscripts (between 500 and 1000)","no","Unknown","no","Estonia","Tallinn","59.441968","24.748075","Explore","No post available","0"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?NOM_VILLE=VALOGNES&TOUT=true Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","France","Valognes","49.507654","-1.473881","Explore","No post available","0"
"Columbia University, Rare Book and Manuscript Library","https://www.digital-scriptorium.org/xtf3/search?rmode=digscript&smode=bid&bid=20&docsPerPage=30 Digitized manuscripts","Thousands (more than 1000 digitized manuscripts)","no","Unknown","no","United States of America","New York","40.8064","-73.9631","Explore","No post available","1"
"Musee des Beaux-arts","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?rechercheRapide=Nantes,+Mus%C3%A9e+des+Beaux-arts&newSearch=1 Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","France","Nantes","47.219451","-1.546684","Explore","No post available","0"
"The Courtauld Institute of Art","http://www.artandarchitecture.org.uk/search/results.html?n=1&allof=manuscript&title=&people=&dateto=1550&type=&noneof=&location=&oneof=&creator=&datefrom=500&keywords=&searchtype=all Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","England","London","51.511607","-0.117395","Explore","No post available","1"
"Stadtbibliothek","http://digital.stadtbibliothek.luebeck.de/ Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","Germany","Lubeck","53.868469","10.69012","Explore","No post available","0"
"University of Toronto, Fisher Library, Collection of Manuscript Fragments","https://fishercollections.library.utoronto.ca/islandora/object/fisher21%3Aroot Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","Canada","Toronto","43.664088","-79.39888","Explore","No post available","0"
"Universitat de Valencia","http://roderic.uv.es/handle/10550/43 Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","no","Unknown","no","Spain","Valencia","39.471577","-0.372604","Explore","No post available","0"
"Mediatheque du Valais","https://www.e-codices.unifr.ch/en/list/mvs Digitized manuscripts","Few ( < 10 digitized manuscripts)","yes","Unknown","no","Switzerland","Sion / Sitten","46.230705","7.355588","Explore","No post available","0"
"Biblioteca Medica 'V.Pinali'","http://phaidra.cab.unipd.it/o:875 Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","Italy","Padova","45.40346","11.885444","Explore","No post available","0"
"Bibliotheque de la Sorbonne","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?rechercheRapide=Biblioth%C3%A8que+de+la+Sorbonne&newSearch=1 Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","no","Unknown","no","France","Paris","48.849167","2.34346","Explore","No post available","0"
"Utopia, armarium codicum bibliophilorum","https://www.e-codices.unifr.ch/en/list/utp Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","yes","Unknown","no","Switzerland","Private Collection. Location Uknown.","47.36865","9.471488","Explore","No post available","0"
"Fondo Antico presso la Biblioteca del Sacro Convento","http://www.internetculturale.it/it/16/search?q=Fondo+Antico+presso+la+Biblioteca+del+Sacro+Convento&instance=magindice&__meta_typeTipo=manoscritto Digitized manuscripts","More than half-thousand digitized manuscripts (between 500 and 1000)","no","Unknown","no","Italy","Assisi","43.074426","12.605824","Explore","No post available","0"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?rechercheRapide=Saint-Die-Des-Vosges&newSearch=1 Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","France","Saint-Die-Des-Vosges","48.287468","6.947767","Explore","No post available","0"
"Bibliotheque municipale de Dijon","http://www.mediatheque.grand-troyes.fr/webmat2/expos/clairvaux/galerie.html Digitized manuscripts","Unknown","no","Unknown","no","France","Dijon","47.319294","5.042493","Explore","No post available","1"
"Stiftskirche St. Michael","https://www.e-codices.unifr.ch/en/list/sbb Digitized manuscripts","Few ( < 10 digitized manuscripts)","yes","Unknown","no","Switzerland","Beromunster","47.206732","8.193103","Explore","No post available","0"
"Riksarkivet - National Archives","https://fragments.app.uib.no/search/f?p=657:1:0::NO Digitized manuscripts","Unknown","no","Unknown","no","Norway","Oslo","59.966973","10.735958","Explore","No post available","0"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?rechercheRapide=VITRE,+Biblioth%C3%A8que+municipale,+0001&newSearch=1 Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","France","Vitre","48.124746","-1.21543","Explore","No post available","0"
"Rijksmuseum Twenthe","https://collectie.rijksmuseumtwenthe.nl/zoeken-in-de-collectie?q=handschrift Digitized manuscripts","Unknown","no","Unknown","no","Netherlands","Enschede","52.227582","6.896681","Explore","No post available","0"
"Sir George Grey Special Collections","http://www.aucklandlibraries.govt.nz/EN/heritage/sirgeorgegrey/manuscripts/Pages/manuscripts.aspx Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","New Zealand","Auckland","-36.851728","174.765358","Explore","No post available","0"
"Bibliotheque d'Agen","http://www.manuscrits-medievaux.fr/resultats.aspx?fd=93 Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","France","Agen","44.200865","0.61727","Explore","No post available","0"
"Digital Library of Wroclaw University","http://www.bibliotekacyfrowa.pl/dlibra/collectiondescription?dirids=8 Digitized manuscripts","More than half-thousand digitized manuscripts (between 500 and 1000)","no","Unknown","no","Poland","Wroclaw","51.108761","17.028079","Explore","No post available","0"
"Augustiner-Chorherrenstift","https://manuscripta.at/lib.php?libcode=AT5000 Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","no","Unknown","no","Austria","Klosterneuburg","48.306193","16.326588","Explore","No post available","0"
"Greenslade Archives and Special Collections","https://digital.kenyon.edu/mdvlmanuscripts/ Digitized manuscripts","Unknown","no","Unknown","no","United States of America","Gambier","40.376809","-82.39659","Explore","No post available","0"
"Stiftsbibliothek","https://www.e-codices.unifr.ch/en/list/csg Digitized manuscripts","Hundreds (between 100 and 500 digitized manuscripts)","yes","Unknown","no","Switzerland","St. Gallen","47.423439","9.3777","Explore","No post available","0"
"Universitätsbibliothek Greifswald","http://www.manuscripta-mediaevalia.de/?xdb_objtype!%22digitalisierteHandschriften%22%20biblio%3AGreifswald%20sp-datum%3C1550 Digitized manuscripts","Many (Between 50 and 100 digitized manuscripts)","no","Unknown","no","Germany","Greifswald","54.090826","13.406299","Explore","No post available","0"
"Bibliotheque municipale","https://bvmm.irht.cnrs.fr/resultRecherche/resultRecherche.php?NOM_VILLE=SAINT-OMER&TOUT=true Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","France","Saint-Omer","50.74757","2.257262","Explore","No post available","0"
"University of California, Riverside, Tomas Rivera Library, Special Collections","https://search.digital-scriptorium.org/?f%5Binstitution_facet%5D%5B%5D=University+of+California%2C+Riverside Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","United States of America","Riverside","33.972522","-117.32743","Explore","No post available","0"
"State Library of South Australia","http://www.slsa.sa.gov.au/antiphonal/ Digitized manuscripts","Few ( < 10 digitized manuscripts)","no","Unknown","no","Australia","Adelaide","-34.919357","138.601693","Explore","No post available","0"
"Thomas Fisher Rare Book Library","https://fisher.library.utoronto.ca/resources/collections Digitized manuscripts","Some (between 10 and 50 digitized manuscripts)","no","Unknown","no","Canada","Toronto","43.664088","-79.39888","Explore","No post available","0"
